date,sst
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,30.029735565185547
2002-08-01,30.141782760620117
2002-09-01,30.392841339111328
2002-10-01,30.28795051574707
2002-11-01,30.650571823120117
2002-12-01,29.752246856689453
2003-01-01,29.028440475463867
2003-02-01,28.681730270385742
2003-03-01,30.348464965820312
2003-04-01,30.827383041381836
2003-05-01,31.609268188476562
2003-06-01,30.923246383666992
2003-07-01,30.140644073486328
2003-08-01,30.771902084350586
2003-09-01,30.231792449951172
2003-10-01,30.271501541137695
2003-11-01,29.810211181640625
2003-12-01,27.911224365234375
2004-01-01,28.41339683532715
2004-02-01,28.509937286376953
2004-03-01,29.636789321899414
2004-04-01,30.970352172851562
2004-05-01,31.58397674560547
2004-06-01,30.975555419921875
2004-07-01,30.337257385253906
2004-08-01,29.344398498535156
2004-09-01,29.807373046875
2004-10-01,30.50901985168457
2004-11-01,30.415512084960938
2004-12-01,28.57063102722168
2005-01-01,28.18777847290039
2005-02-01,29.127574920654297
2005-03-01,29.84775161743164
2005-04-01,30.705781936645508
2005-05-01,30.8453311920166
2005-06-01,30.956317901611328
2005-07-01,30.90593147277832
2005-08-01,30.02264404296875
2005-09-01,30.360107421875
2005-10-01,30.221391677856445
2005-11-01,30.001739501953125
2005-12-01,29.81208038330078
2006-01-01,28.7275447845459
2006-02-01,28.940391540527344
2006-03-01,29.605056762695312
2006-04-01,30.604415893554688
2006-05-01,31.124231338500977
2006-06-01,30.307451248168945
2006-07-01,30.15475845336914
2006-08-01,29.781417846679688
2006-09-01,29.648303985595703
2006-10-01,29.908132553100586
2006-11-01,30.345012664794922
2006-12-01,29.54310417175293
2007-01-01,27.994251251220703
2007-02-01,28.247365951538086
2007-03-01,30.341114044189453
2007-04-01,30.71994400024414
2007-05-01,30.86390495300293
2007-06-01,30.950620651245117
2007-07-01,30.52614974975586
2007-08-01,29.853443145751953
2007-09-01,29.840543746948242
2007-10-01,30.25621223449707
2007-11-01,30.043649673461914
2007-12-01,28.647598266601562
2008-01-01,28.477130889892578
2008-02-01,28.55522918701172
2008-03-01,29.575632095336914
2008-04-01,30.368877410888672
2008-05-01,30.601539611816406
2008-06-01,30.66179847717285
2008-07-01,29.840282440185547
2008-08-01,30.002159118652344
2008-09-01,29.927507400512695
2008-10-01,30.346572875976562
2008-11-01,30.411436080932617
2008-12-01,28.550823211669922
2009-01-01,27.30803680419922
2009-02-01,28.64651870727539
2009-03-01,30.093793869018555
2009-04-01,31.199068069458008
2009-05-01,31.226268768310547
2009-06-01,31.568376541137695
2009-07-01,30.226497650146484
2009-08-01,30.018592834472656
2009-09-01,30.441118240356445
2009-10-01,30.634817123413086
2009-11-01,30.513832092285156
2009-12-01,28.954214096069336
2010-01-01,28.97230339050293
2010-02-01,29.659841537475586
2010-03-01,30.51620864868164
2010-04-01,30.95548439025879
2010-05-01,31.99126625061035
2010-06-01,31.179658889770508
2010-07-01,30.68545913696289
2010-08-01,30.682403564453125
2010-09-01,31.064010620117188
2010-10-01,30.868799209594727
2010-11-01,30.5180721282959
2010-12-01,29.885643005371094
2011-01-01,28.289653778076172
2011-02-01,28.858139038085938
2011-03-01,29.036359786987305
2011-04-01,30.145530700683594
2011-05-01,31.01795768737793
2011-06-01,30.899368286132812
2011-07-01,30.360872268676758
2011-08-01,30.315500259399414
2011-09-01,30.111982345581055
2011-10-01,30.29304313659668
2011-11-01,29.891767501831055
2011-12-01,29.151378631591797
2012-01-01,28.950607299804688
2012-02-01,29.20854377746582
2012-03-01,29.87403678894043
2012-04-01,31.17523765563965
2012-05-01,30.88193130493164
2012-06-01,30.8532657623291
2012-07-01,29.858400344848633
2012-08-01,30.02971839904785
2012-09-01,29.78071403503418
2012-10-01,30.72401237487793
2012-11-01,30.19849967956543
2012-12-01,29.758834838867188
2013-01-01,28.600473403930664
2013-02-01,28.746679306030273
2013-03-01,29.7104549407959
2013-04-01,30.652427673339844
2013-05-01,31.647798538208008
2013-06-01,31.27153778076172
2013-07-01,30.711959838867188
2013-08-01,30.03371810913086
2013-09-01,30.07741355895996
2013-10-01,30.445051193237305
2013-11-01,29.914358139038086
2013-12-01,29.317832946777344
2014-01-01,27.44561195373535
2014-02-01,27.96845054626465
2014-03-01,29.098222732543945
2014-04-01,30.626148223876953
2014-05-01,31.1092529296875
2014-06-01,31.494436264038086
2014-07-01,30.179197311401367
2014-08-01,30.2197208404541
2014-09-01,30.323596954345703
2014-10-01,30.901893615722656
2014-11-01,30.4520320892334
2014-12-01,29.71335792541504
2015-01-01,28.459550857543945
2015-02-01,28.280773162841797
2015-03-01,29.468542098999023
2015-04-01,30.727031707763672
2015-05-01,31.272008895874023
2015-06-01,30.944242477416992
2015-07-01,30.621505737304688
2015-08-01,30.237886428833008
2015-09-01,30.084400177001953
2015-10-01,30.41425132751465
2015-11-01,30.841514587402344
2015-12-01,29.60195541381836
2016-01-01,29.325054168701172
2016-02-01,29.201778411865234
2016-03-01,29.88279151916504
2016-04-01,31.02895164489746
2016-05-01,32.25523376464844
2016-06-01,31.644485473632812
2016-07-01,31.44707489013672
2016-08-01,30.877971649169922
2016-09-01,31.05325698852539
2016-10-01,31.0085391998291
2016-11-01,30.067447662353516
2016-12-01,30.20531463623047
2017-01-01,30.30185890197754
2017-02-01,28.468446731567383
2017-03-01,30.311779022216797
2017-04-01,31.021268844604492
2017-05-01,31.07634925842285
2017-06-01,31.3283634185791
