date,sst
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,30.029735618768328
2002-08-01,30.141775161931818
2002-09-01,30.392837802941177
2002-10-01,30.287956838414633
2002-11-01,30.650571843373495
2002-12-01,29.752242096345515
2003-01-01,29.028434252279634
2003-02-01,28.681730375
2003-03-01,30.348459853658536
2003-04-01,30.827377628048783
2003-05-01,31.6092539502924
2003-06-01,30.92325304788733
2003-07-01,30.14063981097561
2003-08-01,30.771894609329447
2003-09-01,30.231789675925928
2003-10-01,30.271508077966104
2003-11-01,29.81020032128514
2003-12-01,27.91120296680498
2004-01-01,28.413391382165603
2004-02-01,28.509935576923077
2004-03-01,29.636771547368422
2004-04-01,30.970347724683542
2004-05-01,31.583973528901733
2004-06-01,30.975559925287357
2004-07-01,30.337256614420063
2004-08-01,29.34439533836858
2004-09-01,29.807385589665653
2004-10-01,30.509011445427728
2004-11-01,30.415531492401215
2004-12-01,28.57062464642857
2005-01-01,28.187780698224852
2005-02-01,29.12756137037037
2005-03-01,29.847739999999998
2005-04-01,30.70577808083832
2005-05-01,30.845333914893615
2005-06-01,30.956318585889573
2005-07-01,30.905932275229357
2005-08-01,30.022643241379313
2005-09-01,30.36010283480826
2005-10-01,30.22138758528428
2005-11-01,30.001717745173742
2005-12-01,29.81207124610592
2006-01-01,28.72753262995595
2006-02-01,28.940385422839505
2006-03-01,29.605045929012345
2006-04-01,30.6044219669967
2006-05-01,31.124227120786518
2006-06-01,30.30745407878788
2006-07-01,30.15475893315508
2006-08-01,29.781409868945868
2006-09-01,29.648304209770114
2006-10-01,29.90812827844311
2006-11-01,30.34499955589124
2006-12-01,29.54309395454545
2007-01-01,27.99424730721003
2007-02-01,28.247359819875776
2007-03-01,30.34109928739003
2007-04-01,30.719939141993958
2007-05-01,30.8639159628483
2007-06-01,30.95062284985836
2007-07-01,30.526152175324675
2007-08-01,29.85344926536313
2007-09-01,29.84054889295775
2007-10-01,30.256198950155763
2007-11-01,30.04362666779661
2007-12-01,28.647590409240927
2008-01-01,28.477117235294116
2008-02-01,28.55521705434783
2008-03-01,29.575622588785045
2008-04-01,30.368873842105263
2008-05-01,30.60153695290859
2008-06-01,30.661800055401663
2008-07-01,29.840295414201183
2008-08-01,30.002177950292396
2008-09-01,29.927499563333335
2008-10-01,30.346554356707315
2008-11-01,30.411430377358492
2008-12-01,28.55082004024768
2009-01-01,27.308026857142856
2009-02-01,28.646504820069204
2009-03-01,30.093783360360362
2009-04-01,31.199068335243552
2009-05-01,31.22626409883721
2009-06-01,31.56837864285714
2009-07-01,30.22649956
2009-08-01,30.01859009495549
2009-09-01,30.44111229573171
2009-10-01,30.634823568914957
2009-11-01,30.513822180428136
2009-12-01,28.954205558823528
2010-01-01,28.972295993485343
2010-02-01,29.659839206997084
2010-03-01,30.516184675324673
2010-04-01,30.955472934911242
2010-05-01,31.991249572674416
2010-06-01,31.179653706051873
2010-07-01,30.68546428169014
2010-08-01,30.682407994366194
2010-09-01,31.064011580838322
2010-10-01,30.86879497359736
2010-11-01,30.51806224723247
2010-12-01,29.88562727272727
2011-01-01,28.289643691525423
2011-02-01,28.858141543806646
2011-03-01,29.036338879464285
2011-04-01,30.145518302593658
2011-05-01,31.017954756302522
2011-06-01,30.899362147308782
2011-07-01,30.36087699442897
2011-08-01,30.31550827616279
2011-09-01,30.111983701587302
2011-10-01,30.293042226973682
2011-11-01,29.891765277227723
2011-12-01,29.15136946917808
2012-01-01,28.950603309597522
2012-02-01,29.208527239263805
2012-03-01,29.87403244890511
2012-04-01,31.175225598870057
2012-05-01,30.881943950617284
2012-06-01,30.853266065902577
2012-07-01,29.8583967
2012-08-01,30.029720138235295
2012-09-01,29.780713854227404
2012-10-01,30.72401639044944
2012-11-01,30.19850921474359
2012-12-01,29.75881552631579
2013-01-01,28.60046694080997
2013-02-01,28.74665533114754
2013-03-01,29.710444939655172
2013-04-01,30.65244005059524
2013-05-01,31.647805863247864
2013-06-01,31.2715249180791
2013-07-01,30.71196036414566
2013-08-01,30.033713014619885
2013-09-01,30.077408182724252
2013-10-01,30.445031320634918
2013-11-01,29.914349495
2013-12-01,29.31780830677291
2014-01-01,27.44559229259259
2014-02-01,27.968441996884735
2014-03-01,29.098219436532506
2014-04-01,30.626146098726114
2014-05-01,31.109251124203823
2014-06-01,31.494439434173668
2014-07-01,30.179200253918495
2014-08-01,30.21971527424749
2014-09-01,30.32359236526946
2014-10-01,30.901896573529413
2014-11-01,30.452025572490708
2014-12-01,29.713344480836238
2015-01-01,28.459539276190476
2015-02-01,28.280758656765677
2015-03-01,29.468533781758957
2015-04-01,30.727029924242423
2015-05-01,31.272013865714285
2015-06-01,30.94425095480226
2015-07-01,30.62151083279743
2015-08-01,30.237887100303954
2015-09-01,30.084414771929826
2015-10-01,30.414240485148518
2015-11-01,30.8415041661442
2015-12-01,29.601943961805553
2016-01-01,29.325046308411217
2016-02-01,29.201768329931973
2016-03-01,29.88278258805031
2016-04-01,31.028940964169383
2016-05-01,32.25523245031056
2016-06-01,31.644486757834756
2016-07-01,31.447079376068373
2016-08-01,30.87797576190476
2016-09-01,31.053266417177912
2016-10-01,31.008539711409398
2016-11-01,30.067434756476683
2016-12-01,30.205313028213165
2017-01-01,30.301848398713826
2017-02-01,28.46843605154639
2017-03-01,30.3117723
2017-04-01,31.021267163380283
2017-05-01,31.076350126436783
2017-06-01,31.32836164367816
