tipo,periodo,slope_C_per_year,slope_C_per_decade,slope_CI95_low,slope_CI95_high,intercept_C,intercept_CI95_low,intercept_CI95_high,R2
unweighted,2002-2019,0.023056766280062868,0.23056766280062868,-0.0012564486628699294,0.04736998122299567,-16.267560886063333,-65.1676686919841,32.63254691985745,0.016526321465008875
unweighted,2002-2025,0.023858089235922725,0.23858089235922725,0.00750070416084481,0.04021547431100064,-17.881880025166385,-50.827881157044885,15.064121106712118,0.028901902734775553
weighted,2002-2019,0.023056784950614563,0.23056784950614562,-0.0012563449588489893,0.04736991486007812,-16.267594150406712,-65.167530932223,32.63234263140957,0.016526461476788157
weighted,2002-2025,0.023858024446163792,0.23858024446163792,0.0075006952597947395,0.04021535363253284,-17.88174564175501,-50.827634206162806,15.064142922652785,0.02890194208964214
