year,sst,y_fit,year_date
2002,30.029735618768328,30.161085228538305,2002-01-01
2003,30.14063981097561,30.19004392136179,2003-01-01
2004,30.337256614420063,30.21900261418528,2004-01-01
2005,30.905932275229357,30.247961307008765,2005-01-01
2006,30.15475893315508,30.276919999832252,2006-01-01
2007,30.526152175324675,30.30587869265574,2007-01-01
2008,29.840295414201183,30.334837385479226,2008-01-01
2009,30.22649956,30.363796078302713,2009-01-01
2010,30.68546428169014,30.3927547711262,2010-01-01
2011,30.36087699442897,30.421713463949686,2011-01-01
2012,29.8583967,30.450672156773173,2012-01-01
2013,30.71196036414566,30.47963084959666,2013-01-01
2014,30.179200253918495,30.508589542420147,2014-01-01
2015,30.62151083279743,30.537548235243634,2015-01-01
2016,31.447079376068373,30.56650692806712,2016-01-01
2017,30.339749555555553,30.595465620890607,2017-01-01
2018,30.222337752941176,30.6244243137141,2018-01-01
2019,30.53913252601156,30.653383006537588,2019-01-01
2020,30.552224847887324,30.682341699361075,2020-01-01
2021,30.801281208450703,30.71130039218456,2021-01-01
2022,30.556084030985915,30.74025908500805,2022-01-01
2023,30.689458631578947,30.769217777831535,2023-01-01
2024,31.003190560301505,30.798176470655022,2024-01-01
2025,31.12942638536585,30.82713516347851,2025-01-01
